"status","general_grade","developers","grade_url","name","area","price","green_grade","newest_made_time","given_time","detail_address","around_grade","type","traffic_grade"
"在售","0","成都海润置业有限公司","https://cd.fang.lianjia.com//loupan/p_lgcdgjsqqqbjhrc/","蓝光长岛国际社区七期","双流","13000","0","2019.04.03","2021年01月31日","·统力大道永康森林公园旁","0","住宅","0"
"未开盘","0","成都隆中策置业有限公司","https://cd.fang.lianjia.com//loupan/p_jmfbjjba/","金茂府","武侯","价格待定","0","2019.02.27","2020年06月01日","铁佛工业区二路","0","住宅","0"
"未开盘","0","成都保利天悦房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_bltybjoqv/","保利天悦","武侯","21000","0","2019.03.05","2021年03月31日","高攀路36-8号","0","住宅","0"
"未开盘","null","成都保利锐鑫房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_bltxbjngx/","保利天玺","金牛","18000","0","2018.10.26","待定","金丰路保利天玺","0","商业","0"
"未开盘","0","成都成龙房地产开发有限责任公司","https://cd.fang.lianjia.com//loupan/p_zamdbjjyi/","左岸名都","龙泉驿","7800","0","2019.02.03","2021年06月01日","西江大道555号","0","住宅","0"
"未开盘","3","成都民旺置业有限公司","https://cd.fang.lianjia.com//loupan/p_dygcaalei/","帝一广场","龙泉驿","价格待定","3","2018.04.27","2020年12月30日","龙都北路与建材路交汇处","3","住宅","3"
"未开盘","1.4","成都汇景锦江房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_hjxcaalju/","汇景新城","新都","10550","1.3","2019.01.02","2020年12月31日","新泰东路144号（石油大学大转盘旁）","1.5","住宅","1.5"
"未开盘","null","成都市蜀尚置业有限公司","https://cd.fang.lianjia.com//loupan/p_ssyzbjgro/","蜀尚雅筑","新都","价格待定","0","2017.02.11","2018年12月31日","东环路147号","0","商业","0"
"未开盘","null","中铁房地产集团四川有限公司","https://cd.fang.lianjia.com//loupan/p_xpbybjorz/","西派泊玥","成华","13500","0","2018.12.29","2020年06月20日","湖秀二路37号","0","住宅","0"
"未开盘","0","四川亿龙置业有限公司","https://cd.fang.lianjia.com//loupan/p_jahybjkbd/","金安花苑","郫都","4800","0","2018.09.28","2019年04月30日","安德镇彭温路248号（活水公园旁）","0","住宅","0"
"未开盘","3.2","首创置业成都有限公司","https://cd.fang.lianjia.com//loupan/p_sctxaakmi/","首创天禧68","成华","价格待定","3","2016.08.20","2018年06月30日","二环路东一段内侧（距离桃溪路口站30米）","3.3","住宅","3.3"
"未开盘","null"," 成都中海投资置业有限公司","https://cd.fang.lianjia.com//loupan/p_ssflsbjosy/","三盛翡俪山","双流","9500","0","2018.12.26","2020年06月01日","燕扬路3号","0","别墅","0"
"未开盘","null","成都锦毅房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_ypdjxbjlpw/","优品道锦绣","天府新区","价格待定","0","2019.02.20","2020年12月","华阳祥鹤西巷125号","0","住宅","0"
"未开盘","0","中国航发成都发动机有限公司","https://cd.fang.lianjia.com//loupan/p_cfzyfbjcig/","成发紫悦府","成华","价格待定","0","2018.11.25","2021年03月","水碾河路1号","0","住宅","0"
"未开盘","0","成都世茂新城房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_smcctcbiqvi/","世茂璀璨天城","龙泉驿","12700","0","2018.12.26","2021年12月31日","成龙大道二段世茂璀璨天城","0","住宅","0"
"未开盘","null","成都华府锦城中建房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_zjhfjcbjpdx/","中建华府锦城","天府新区","价格待定","0","2019.04.01","待定","南宁路东段中建华府锦城","0","商业类","0"
"未开盘","null","中海佳锦房地产开发成都有限公司","https://cd.fang.lianjia.com//loupan/p_zhyhsjbjtfx/","中海御湖世家","龙泉驿","价格待定","0","2019.04.13","2020年12月31日","十陵街办中街260号","0","商业","0"
"未开盘","0.1","成都信勤置业有限公司","https://cd.fang.lianjia.com//loupan/p_zhjjyhbivtw/","中海锦江壹号","天府新区","价格待定","0.1","2018.11.03","2020年04月30日","锦江西路6号","0.1","住宅","0.1"
"未开盘","0.8","成都田园世界景华置业有限公司","https://cd.fang.lianjia.com//loupan/p_aajdz/","中铁天宏康郡","郫都","价格待定","0.8","2018.12.31","2020年12月31日","郫筒镇红杨路168号","0.8","住宅","0.8"
"未开盘","2.2","成都弘嘉房地产开发有限公司 ","https://cd.fang.lianjia.com//loupan/p_ztqsfdaakwv/","中铁骑士府邸","双流","价格待定","2.1","2017.04.19","2018年05月31日","协和街道剑南大道2266号（南湖公园旁）","2.1","住宅","2.3"
"未开盘","0","成都北辰天府置业有限公司","https://cd.fang.lianjia.com//loupan/p_bcnhxlbixwa/","北辰南湖香麓","天府新区","价格待定","0","2018.11.24","2019年12月31日","锦江路与美岸路交汇处","0","别墅","0"
"未开盘","0","成都兆城房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_jfzywqbjenv/","建发中央湾区","天府新区","价格待定","0","2018.12.20","2021年12月","武汉路西段1533号","0","住宅","0"
"未开盘","0.2","成都德商鼎创置业有限公司","https://cd.fang.lianjia.com//loupan/p_dsyhtxbiqsp/","德商迎晖天玺","成华","23500","0.2","2019.01.23","2020年06月30日","迎晖路德商迎晖天玺","0.2","住宅","0.2"
